| GTID   | GT_Tag                                       |     q |     a1x |     a1y |     a1z |     a2x |     a2y |     a2z | af     | mf     |   Momega |
| GT0397 | fr_b3.1_a0.8_oth.255_M77                     |  1.00 | -0.7727 |  0.0000 | -0.2071 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.10647 |
| GT0398 | fr_b3.1_a0.8_oth.270_M77                     |  1.00 | -0.8000 |  0.0000 |  0.0000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.08882 |
| GT0400 | fr_b3.1_a0.8_oth.300_M77                     |  1.00 | -0.6928 |  0.0000 |  0.4000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.08167 |
| GT0401 | fr_b3.1_a0.8_oth.330_M77                     |  1.00 | -0.4000 |  0.0000 |  0.6928 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.07877 |
| GT0405 | D10_q1.25_a0.2_m100                          |  1.25 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 |  0.2000 | 0.7403 | 0.9463 |  0.02873 |
| GT0406 | D10_q1.25_a0.4_m100                          |  1.25 |  0.0000 |  0.0000 |  0.4001 |  0.0000 |  0.0000 |  0.4001 | 0.7999 | 0.9385 |  0.02823 |
| GT0407 | D10_q1.25_a0.6_m100                          |  1.25 |  0.0000 |  0.0000 |  0.6014 |  0.0000 |  0.0000 |  0.6014 | 0.8555 | 0.9281 |  0.02778 |
| GT0411 | D10_q1.50_a0.6_m100                          |  1.50 |  0.0000 |  0.0000 |  0.6014 |  0.0000 |  0.0000 |  0.6013 | 0.8510 | 0.9313 |  0.02783 |
| GT0413 | D10_q1.75_a0.2_m100                          |  1.75 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 |  0.2000 | 0.7139 | 0.9523 |  0.02849 |
| GT0414 | D10_q1.75_a0.4_m100                          |  1.75 |  0.0000 |  0.0000 |  0.4001 |  0.0000 |  0.0000 |  0.4000 | 0.7810 | 0.9450 |  0.02795 |
| GT0415 | D10_q1.75_a0.6_m100                          |  1.75 |  0.0000 |  0.0000 |  0.6014 |  0.0000 |  0.0000 |  0.6013 | 0.8449 | 0.9352 |  0.02762 |
| GT0420 | D11_q1.00_a0.2_m200                          |  1.00 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 |  0.2000 | 0.7462 | 0.9455 |  0.02460 |
| GT0422 | D11_q1.00_a0.4_m200                          |  1.00 |  0.0000 |  0.0000 |  0.4001 |  0.0000 |  0.0000 |  0.4001 | 0.8036 | 0.9376 |  0.02429 |
| GT0424 | D11_q1.00_a0.8_m200                          |  1.00 |  0.0000 |  0.0000 |  0.8086 |  0.0000 |  0.0000 |  0.8086 | 0.9086 | 0.9117 |  0.02424 |
| GT0428 | Sq2_d6.2_a0.6_oth.000_rr_M140                |  2.00 |  0.0000 |  0.0000 |  0.6013 | -0.6012 |  0.0000 |  0.0000 | 0.8095 | 0.9458 |  0.07632 |
| GT0430 | Sq4_d9_a0.6_oth.000_rr_M140                  |  4.00 |  0.0000 |  0.0000 |  0.6014 | -0.6012 |  0.0000 |  0.0000 | 0.7794 | 0.9654 |  0.03214 |
| GT0431 | Sq2_d6.2_a0.6_oth.030_rr_M140                |  2.00 |  0.3007 |  0.0000 |  0.5208 | -0.6012 |  0.0000 |  0.0000 | -      | -      |  0.08115 |
| GT0432 | Sq4_d6.2_a0.6_oth.030_rr_M140                |  4.00 |  0.3007 |  0.0000 |  0.5208 | -0.6013 |  0.0000 |  0.0000 | 0.7585 | 0.9673 |  0.06414 |
| GT0433 | Sq4_d9_a0.6_oth.090_rr_M140                  |  4.00 |  0.6014 |  0.0000 |  0.0000 | -0.6012 |  0.0000 |  0.0000 | 0.5926 | 0.9760 |  0.03361 |
| GT0434 | Sq2_d6.2_a0.6_oth.090_rr_M140                |  2.00 |  0.6013 |  0.0000 |  0.0000 | -0.6011 |  0.0000 |  0.0000 | 0.6523 | 0.9596 |  0.10587 |
| GT0435 | Sq4_d9_a0.6_oth.150_rr_M140                  |  4.00 |  0.3007 |  0.0000 | -0.5208 | -0.6012 |  0.0000 |  0.0000 | 0.2580 | 0.9826 |  0.04087 |
| GT0437 | Sq2_d6.2_a0.6_oth.150_rr_M140                |  2.00 |  0.3007 |  0.0000 | -0.5208 | -0.6011 |  0.0000 |  0.0000 | 0.4574 | 0.9688 |  0.34916 |
| GT0438 | Sq4_d9_a0.6_oth.180_rr_M140                  |  4.00 |  0.0000 |  0.0000 | -0.6014 | -0.6012 |  0.0000 |  0.0000 | 0.1498 | 0.9833 |  0.04314 |
| GT0440 | Sq2_d6.2_a0.6_oth.180_rr_M140                |  2.00 |  0.0000 |  0.0000 | -0.6013 | -0.6011 |  0.0000 |  0.0000 | 0.4287 | 0.9697 |  0.33388 |
| GT0441 | Sq4_d9_a0.6_oth.210_rr_M140                  |  4.00 | -0.3007 |  0.0000 | -0.5208 | -0.6012 |  0.0000 |  0.0000 | 0.2849 | 0.9823 |  0.04072 |
| GT0443 | Sq2_d6.2_a0.6_oth.270_rr_M140                |  2.00 | -0.6013 |  0.0000 |  0.0000 | -0.6011 |  0.0000 |  0.0000 | -      | -      |  0.10390 |
| GT0446 | D11_q2.00_a0.0_m200                          |  2.00 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6233 | 0.9612 |  0.02485 |
| GT0448 | D11_q1.00_a0.0_m240                          |  1.00 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6862 | 0.9516 |  0.02498 |
| GT0453 | D11_q3.00_a0.0_m200                          |  3.00 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.5405 | 0.9713 |  0.02471 |
| GT0454 | D11_q4.00_a0.0_m200                          |  4.00 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.4716 | 0.9779 |  0.02457 |
| GT0455 | RO3_D10_q1.50_a0.60_oth.045_M120             |  1.50 |  0.4252 |  0.0000 |  0.4252 |  0.0000 |  0.0000 |  0.6013 | 0.8223 | 0.9370 |  0.02817 |
| GT0456 | RO3_D10_q1.50_a0.40_oth.060_M120             |  1.50 |  0.3465 |  0.0000 |  0.2001 |  0.0000 |  0.0000 |  0.4001 | 0.7535 | 0.9465 |  0.02849 |
| GT0457 | RO3_D10_q1.50_a0.60_oth.060_M120             |  1.50 |  0.5208 |  0.0000 |  0.3007 |  0.0000 |  0.0000 |  0.6013 | -      | -      |  0.02824 |
| GT0458 | RO3_D10_q2.00_a0.40_oth.060_M120             |  2.00 |  0.3465 |  0.0000 |  0.2001 |  0.0000 |  0.0000 |  0.4000 | 0.7223 | 0.9539 |  0.02843 |
| GT0459 | RO3_D10_q2.50_a0.40_oth.045_M120             |  2.50 |  0.2829 |  0.0000 |  0.2829 |  0.0000 |  0.0000 |  0.4000 | 0.7151 | 0.9583 |  0.02814 |
| GT0460 | RO3_D10_q2.00_a0.60_oth.045_M120             |  2.00 |  0.4253 |  0.0000 |  0.4253 |  0.0000 |  0.0000 |  0.6012 | 0.8045 | 0.9451 |  0.02788 |
| GT0461 | RO3_D10_q2.00_a0.60_oth.060_M120             |  2.00 |  0.5208 |  0.0000 |  0.3007 |  0.0000 |  0.0000 |  0.6012 | 0.7766 | 0.9481 |  0.02796 |
| GT0462 | RO3_D10_q2.50_a0.40_oth.060_M120             |  2.50 |  0.3465 |  0.0000 |  0.2001 |  0.0000 |  0.0000 |  0.4000 | 0.6928 | 0.9604 |  0.02828 |
| GT0463 | RO3_D10_q2.00_a0.60_oth.090_M120             |  2.00 |  0.6014 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.6012 | 0.6978 | 0.9547 |  0.02848 |
| GT0464 | RO3_D10_q2.50_a0.40_oth.090_M120             |  2.50 |  0.4001 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.4000 | 0.6259 | 0.9640 |  0.02876 |
| GT0465 | RO3_D10_q2.50_a0.60_oth.045_M120             |  2.50 |  0.4253 |  0.0000 |  0.4253 |  0.0000 |  0.0000 |  0.6011 | 0.7875 | 0.9522 |  0.02778 |
| GT0466 | RO3_D10_q2.50_a0.60_oth.060_M120             |  2.50 |  0.5208 |  0.0000 |  0.3007 |  0.0000 |  0.0000 |  0.6011 | 0.7563 | 0.9550 |  0.02789 |
| GT0467 | RO3_D10_q2.50_a0.60_oth.090_M120             |  2.50 |  0.6014 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.6011 | 0.6707 | 0.9624 |  0.02845 |
| GT0468 | RO3_D10_q4.00_a0.60_oth.045_M120             |  4.00 |  0.4253 |  0.0000 |  0.4253 |  0.0000 |  0.0000 |  0.6010 | 0.7485 | 0.9676 |  0.02752 |
| GT0469 | RO3_D10_q4.00_a0.60_oth.060_M120             |  4.00 |  0.5208 |  0.0000 |  0.3007 |  0.0000 |  0.0000 |  0.6010 | 0.7148 | 0.9702 |  0.02762 |
| GT0470 | RO3_D10_q4.00_a0.60_oth.090_M120             |  4.00 |  0.6014 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.6010 | 0.6095 | 0.9749 |  0.02828 |
| GT0471 | D11_q2.00_a0.2_m160                          |  2.00 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 |  0.1999 | 0.6978 | 0.9560 |  0.02445 |
| GT0472 | D11_q2.00_a0.4_m160                          |  2.00 |  0.0000 |  0.0000 |  0.4001 |  0.0000 |  0.0000 |  0.4000 | 0.7697 | 0.9491 |  0.02415 |
| GT0475 | D11_q2.50_a0.2_0.00_m160                     |  2.50 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 |  0.0000 | 0.6567 | 0.9629 |  0.02446 |
| GT0476 | D11_q1.00_a-0.2_m200                         |  1.00 |  0.0000 |  0.0000 | -0.1999 |  0.0000 |  0.0000 | -0.1999 | 0.6240 | 0.9564 |  0.02554 |
| GT0477 | D11_q1.50_a0.0_m200                          |  1.50 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6639 | 0.9552 |  0.02496 |
| GT0478 | RO3_D10_q4.00_a0.40_oth.060_M120             |  4.00 |  0.3465 |  0.0000 |  0.2001 |  0.0000 |  0.0000 |  0.3999 | 0.6215 | 0.9737 |  0.02817 |
| GT0479 | D11_q1.50_a0.2_m200                          |  1.50 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 |  0.2000 | 0.7290 | 0.9494 |  0.02455 |
| GT0480 | D11_q2.50_a0.4_0.00_m160                     |  2.50 |  0.0000 |  0.0000 |  0.4001 |  0.0000 |  0.0000 |  0.0000 | 0.7312 | 0.9581 |  0.02420 |
